class,arid,airport,condition,parameter,type,season,value
11,"-","-",normal,albedo,NLCD16,winter without snow,0.1
12,"-","-",normal,albedo,NLCD16,winter without snow,0.7
21,"-","-",normal,albedo,NLCD16,winter without snow,0.18
22,"-","-",normal,albedo,NLCD16,winter without snow,0.18
23,"-","-",normal,albedo,NLCD16,winter without snow,0.18
24,"-","-",normal,albedo,NLCD16,winter without snow,0.18
31,yes,"-",normal,albedo,NLCD16,winter without snow,0.2
31,no,"-",normal,albedo,NLCD16,winter without snow,0.2
32,"-","-",normal,albedo,NLCD16,winter without snow,0.14
41,"-","-",normal,albedo,NLCD16,winter without snow,0.17
42,"-","-",normal,albedo,NLCD16,winter without snow,0.12
43,"-","-",normal,albedo,NLCD16,winter without snow,0.14
51,yes,"-",normal,albedo,NLCD16,winter without snow,0.25
51,no,"-",normal,albedo,NLCD16,winter without snow,0.18
52,yes,"-",normal,albedo,NLCD16,winter without snow,0.25
52,no,"-",normal,albedo,NLCD16,winter without snow,0.18
71,"-","-",normal,albedo,NLCD16,winter without snow,0.2
72,"-","-",normal,albedo,NLCD16,winter without snow,0.2
73,"-","-",normal,albedo,NLCD16,winter without snow,0.2
74,"-","-",normal,albedo,NLCD16,winter without snow,0.2
81,"-","-",normal,albedo,NLCD16,winter without snow,0.18
82,"-","-",normal,albedo,NLCD16,winter without snow,0.18
90,"-","-",normal,albedo,NLCD16,winter without snow,0.14
91,"-","-",normal,albedo,NLCD16,winter without snow,0.14
92,"-","-",normal,albedo,NLCD16,winter without snow,0.14
93,"-","-",normal,albedo,NLCD16,winter without snow,0.14
94,"-","-",normal,albedo,NLCD16,winter without snow,0.14
95,"-","-",normal,albedo,NLCD16,winter without snow,0.14
96,"-","-",normal,albedo,NLCD16,winter without snow,0.14
97,"-","-",normal,albedo,NLCD16,winter without snow,0.14
98,"-","-",normal,albedo,NLCD16,winter without snow,0.14
99,"-","-",normal,albedo,NLCD16,winter without snow,0.14
11,"-","-",normal,albedo,NLCD16,winter with snow,0.1
12,"-","-",normal,albedo,NLCD16,winter with snow,0.7
21,"-","-",normal,albedo,NLCD16,winter with snow,0.6
22,"-","-",normal,albedo,NLCD16,winter with snow,0.45
23,"-","-",normal,albedo,NLCD16,winter with snow,0.18
24,"-","-",normal,albedo,NLCD16,winter with snow,0.25
31,yes,"-",normal,albedo,NLCD16,winter with snow,
31,no,"-",normal,albedo,NLCD16,winter with snow,0.6
32,"-","-",normal,albedo,NLCD16,winter with snow,0.3
41,"-","-",normal,albedo,NLCD16,winter with snow,0.5
42,"-","-",normal,albedo,NLCD16,winter with snow,0.35
43,"-","-",normal,albedo,NLCD16,winter with snow,0.42
51,yes,"-",normal,albedo,NLCD16,winter with snow,
51,no,"-",normal,albedo,NLCD16,winter with snow,0.5
52,yes,"-",normal,albedo,NLCD16,winter with snow,
52,no,"-",normal,albedo,NLCD16,winter with snow,0.5
71,"-","-",normal,albedo,NLCD16,winter with snow,0.6
72,"-","-",normal,albedo,NLCD16,winter with snow,0.6
73,"-","-",normal,albedo,NLCD16,winter with snow,0.6
74,"-","-",normal,albedo,NLCD16,winter with snow,0.6
81,"-","-",normal,albedo,NLCD16,winter with snow,0.6
82,"-","-",normal,albedo,NLCD16,winter with snow,0.6
90,"-","-",normal,albedo,NLCD16,winter with snow,0.3
91,"-","-",normal,albedo,NLCD16,winter with snow,0.3
92,"-","-",normal,albedo,NLCD16,winter with snow,0.3
93,"-","-",normal,albedo,NLCD16,winter with snow,0.3
94,"-","-",normal,albedo,NLCD16,winter with snow,0.3
95,"-","-",normal,albedo,NLCD16,winter with snow,0.3
96,"-","-",normal,albedo,NLCD16,winter with snow,0.3
97,"-","-",normal,albedo,NLCD16,winter with snow,0.3
98,"-","-",normal,albedo,NLCD16,winter with snow,0.3
99,"-","-",normal,albedo,NLCD16,winter with snow,0.3
11,"-","-",normal,albedo,NLCD16,spring,0.1
12,"-","-",normal,albedo,NLCD16,spring,0.6
21,"-","-",normal,albedo,NLCD16,spring,0.15
22,"-","-",normal,albedo,NLCD16,spring,0.16
23,"-","-",normal,albedo,NLCD16,spring,0.18
24,"-","-",normal,albedo,NLCD16,spring,0.18
31,yes,"-",normal,albedo,NLCD16,spring,0.2
31,no,"-",normal,albedo,NLCD16,spring,0.2
32,"-","-",normal,albedo,NLCD16,spring,0.14
41,"-","-",normal,albedo,NLCD16,spring,0.16
42,"-","-",normal,albedo,NLCD16,spring,0.12
43,"-","-",normal,albedo,NLCD16,spring,0.14
51,yes,"-",normal,albedo,NLCD16,spring,0.25
51,no,"-",normal,albedo,NLCD16,spring,0.18
52,yes,"-",normal,albedo,NLCD16,spring,0.25
52,no,"-",normal,albedo,NLCD16,spring,0.18
71,"-","-",normal,albedo,NLCD16,spring,0.18
72,"-","-",normal,albedo,NLCD16,spring,0.18
73,"-","-",normal,albedo,NLCD16,spring,0.18
74,"-","-",normal,albedo,NLCD16,spring,0.18
81,"-","-",normal,albedo,NLCD16,spring,0.14
82,"-","-",normal,albedo,NLCD16,spring,0.14
90,"-","-",normal,albedo,NLCD16,spring,0.14
91,"-","-",normal,albedo,NLCD16,spring,0.14
92,"-","-",normal,albedo,NLCD16,spring,0.14
93,"-","-",normal,albedo,NLCD16,spring,0.14
94,"-","-",normal,albedo,NLCD16,spring,0.14
95,"-","-",normal,albedo,NLCD16,spring,0.14
96,"-","-",normal,albedo,NLCD16,spring,0.14
97,"-","-",normal,albedo,NLCD16,spring,0.14
98,"-","-",normal,albedo,NLCD16,spring,0.14
99,"-","-",normal,albedo,NLCD16,spring,0.14
11,"-","-",normal,albedo,NLCD16,summer,0.1
12,"-","-",normal,albedo,NLCD16,summer,0.6
21,"-","-",normal,albedo,NLCD16,summer,0.15
22,"-","-",normal,albedo,NLCD16,summer,0.16
23,"-","-",normal,albedo,NLCD16,summer,0.18
24,"-","-",normal,albedo,NLCD16,summer,0.18
31,yes,"-",normal,albedo,NLCD16,summer,0.2
31,no,"-",normal,albedo,NLCD16,summer,0.2
32,"-","-",normal,albedo,NLCD16,summer,0.14
41,"-","-",normal,albedo,NLCD16,summer,0.16
42,"-","-",normal,albedo,NLCD16,summer,0.12
43,"-","-",normal,albedo,NLCD16,summer,0.14
51,yes,"-",normal,albedo,NLCD16,summer,0.25
51,no,"-",normal,albedo,NLCD16,summer,0.18
52,yes,"-",normal,albedo,NLCD16,summer,0.25
52,no,"-",normal,albedo,NLCD16,summer,0.18
71,"-","-",normal,albedo,NLCD16,summer,0.18
72,"-","-",normal,albedo,NLCD16,summer,0.18
73,"-","-",normal,albedo,NLCD16,summer,0.18
74,"-","-",normal,albedo,NLCD16,summer,0.18
81,"-","-",normal,albedo,NLCD16,summer,0.2
82,"-","-",normal,albedo,NLCD16,summer,0.2
90,"-","-",normal,albedo,NLCD16,summer,0.14
91,"-","-",normal,albedo,NLCD16,summer,0.14
92,"-","-",normal,albedo,NLCD16,summer,0.14
93,"-","-",normal,albedo,NLCD16,summer,0.14
94,"-","-",normal,albedo,NLCD16,summer,0.14
95,"-","-",normal,albedo,NLCD16,summer,0.14
96,"-","-",normal,albedo,NLCD16,summer,0.14
97,"-","-",normal,albedo,NLCD16,summer,0.14
98,"-","-",normal,albedo,NLCD16,summer,0.14
99,"-","-",normal,albedo,NLCD16,summer,0.14
11,"-","-",normal,albedo,NLCD16,fall,0.1
12,"-","-",normal,albedo,NLCD16,fall,0.6
21,"-","-",normal,albedo,NLCD16,fall,0.15
22,"-","-",normal,albedo,NLCD16,fall,0.16
23,"-","-",normal,albedo,NLCD16,fall,0.18
24,"-","-",normal,albedo,NLCD16,fall,0.18
31,yes,"-",normal,albedo,NLCD16,fall,0.2
31,no,"-",normal,albedo,NLCD16,fall,0.2
32,"-","-",normal,albedo,NLCD16,fall,0.14
41,"-","-",normal,albedo,NLCD16,fall,0.16
42,"-","-",normal,albedo,NLCD16,fall,0.12
43,"-","-",normal,albedo,NLCD16,fall,0.14
51,yes,"-",normal,albedo,NLCD16,fall,0.25
51,no,"-",normal,albedo,NLCD16,fall,0.18
52,yes,"-",normal,albedo,NLCD16,fall,0.25
52,no,"-",normal,albedo,NLCD16,fall,0.18
71,"-","-",normal,albedo,NLCD16,fall,0.18
72,"-","-",normal,albedo,NLCD16,fall,0.18
73,"-","-",normal,albedo,NLCD16,fall,0.18
74,"-","-",normal,albedo,NLCD16,fall,0.18
81,"-","-",normal,albedo,NLCD16,fall,0.2
82,"-","-",normal,albedo,NLCD16,fall,0.2
90,"-","-",normal,albedo,NLCD16,fall,0.14
91,"-","-",normal,albedo,NLCD16,fall,0.14
92,"-","-",normal,albedo,NLCD16,fall,0.14
93,"-","-",normal,albedo,NLCD16,fall,0.14
94,"-","-",normal,albedo,NLCD16,fall,0.14
95,"-","-",normal,albedo,NLCD16,fall,0.14
96,"-","-",normal,albedo,NLCD16,fall,0.14
97,"-","-",normal,albedo,NLCD16,fall,0.14
98,"-","-",normal,albedo,NLCD16,fall,0.14
99,"-","-",normal,albedo,NLCD16,fall,0.14
11,"-","-",dry,bowen,NLCD16,winter without snow,0.1
12,"-","-",dry,bowen,NLCD16,winter without snow,0.5
21,"-","-",dry,bowen,NLCD16,winter without snow,2
22,"-","-",dry,bowen,NLCD16,winter without snow,2.5
23,"-","-",dry,bowen,NLCD16,winter without snow,3
24,"-","-",dry,bowen,NLCD16,winter without snow,3
31,no,"-",dry,bowen,NLCD16,winter without snow,3
31,yes,"-",dry,bowen,NLCD16,winter without snow,10
32,"-","-",dry,bowen,NLCD16,winter without snow,0.2
41,"-","-",dry,bowen,NLCD16,winter without snow,2
42,"-","-",dry,bowen,NLCD16,winter without snow,1.5
43,"-","-",dry,bowen,NLCD16,winter without snow,1.75
51,no,"-",dry,bowen,NLCD16,winter without snow,3
51,yes,"-",dry,bowen,NLCD16,winter without snow,7
52,no,"-",dry,bowen,NLCD16,winter without snow,3
52,yes,"-",dry,bowen,NLCD16,winter without snow,10
71,"-","-",dry,bowen,NLCD16,winter without snow,2
72,"-","-",dry,bowen,NLCD16,winter without snow,2
73,"-","-",dry,bowen,NLCD16,winter without snow,2
74,"-","-",dry,bowen,NLCD16,winter without snow,2
81,"-","-",dry,bowen,NLCD16,winter without snow,2
82,"-","-",dry,bowen,NLCD16,winter without snow,2
90,"-","-",dry,bowen,NLCD16,winter without snow,0.2
91,"-","-",dry,bowen,NLCD16,winter without snow,0.2
92,"-","-",dry,bowen,NLCD16,winter without snow,0.2
93,"-","-",dry,bowen,NLCD16,winter without snow,0.2
94,"-","-",dry,bowen,NLCD16,winter without snow,0.2
95,"-","-",dry,bowen,NLCD16,winter without snow,0.2
96,"-","-",dry,bowen,NLCD16,winter without snow,0.2
97,"-","-",dry,bowen,NLCD16,winter without snow,0.2
98,"-","-",dry,bowen,NLCD16,winter without snow,0.1
99,"-","-",dry,bowen,NLCD16,winter without snow,0.1
11,"-","-",normal,bowen,NLCD16,winter without snow,0.1
12,"-","-",normal,bowen,NLCD16,winter without snow,0.5
21,"-","-",normal,bowen,NLCD16,winter without snow,0.7
22,"-","-",normal,bowen,NLCD16,winter without snow,1
23,"-","-",normal,bowen,NLCD16,winter without snow,1.2
24,"-","-",normal,bowen,NLCD16,winter without snow,1.5
31,no,"-",normal,bowen,NLCD16,winter without snow,1.5
31,yes,"-",normal,bowen,NLCD16,winter without snow,6
32,"-","-",normal,bowen,NLCD16,winter without snow,0.2
41,"-","-",normal,bowen,NLCD16,winter without snow,1
42,"-","-",normal,bowen,NLCD16,winter without snow,0.8
43,"-","-",normal,bowen,NLCD16,winter without snow,0.9
51,no,"-",normal,bowen,NLCD16,winter without snow,1.5
51,yes,"-",normal,bowen,NLCD16,winter without snow,4
52,no,"-",normal,bowen,NLCD16,winter without snow,1.5
52,yes,"-",normal,bowen,NLCD16,winter without snow,6
71,"-","-",normal,bowen,NLCD16,winter without snow,1
72,"-","-",normal,bowen,NLCD16,winter without snow,1
73,"-","-",normal,bowen,NLCD16,winter without snow,1
74,"-","-",normal,bowen,NLCD16,winter without snow,1
81,"-","-",normal,bowen,NLCD16,winter without snow,0.7
82,"-","-",normal,bowen,NLCD16,winter without snow,0.7
90,"-","-",normal,bowen,NLCD16,winter without snow,0.2
91,"-","-",normal,bowen,NLCD16,winter without snow,0.2
92,"-","-",normal,bowen,NLCD16,winter without snow,0.2
93,"-","-",normal,bowen,NLCD16,winter without snow,0.2
94,"-","-",normal,bowen,NLCD16,winter without snow,0.2
95,"-","-",normal,bowen,NLCD16,winter without snow,0.1
96,"-","-",normal,bowen,NLCD16,winter without snow,0.1
97,"-","-",normal,bowen,NLCD16,winter without snow,0.1
98,"-","-",normal,bowen,NLCD16,winter without snow,0.1
99,"-","-",normal,bowen,NLCD16,winter without snow,0.1
11,"-","-",wet,bowen,NLCD16,winter without snow,0.1
12,"-","-",wet,bowen,NLCD16,winter without snow,0.5
21,"-","-",wet,bowen,NLCD16,winter without snow,0.4
22,"-","-",wet,bowen,NLCD16,winter without snow,0.6
23,"-","-",wet,bowen,NLCD16,winter without snow,0.8
24,"-","-",wet,bowen,NLCD16,winter without snow,1
31,no,"-",wet,bowen,NLCD16,winter without snow,1
